iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
BTD	11	BTD Biotinidase Deficiency	686.1		DM_acetone[bc]	acetone	bc	blood	Increased	blood	Increased (blood)	False	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	Acetone	HMDB01659	CHEBI:15347	C00207	not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		DM_bhb[bc]	bhb	bc	blood	Increased	blood	Increased (blood)	False	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	(R)-3-Hydroxybutyrate	HMDB00011	CHEBI:17066	C01089	not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		EX_lac_L[u]	lac_L	u	urine	Increased	urine	Increased (urine)	True	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	(S)-Lactate	HMDB00190	CHEBI:422	C00186	not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		EX_nh4[u]	nh4	u	urine	Increased	urine	Increased (urine)	True	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	Ammonium	HMDB00051	CHEBI:16134	C00014	not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		EX_3hpp[u]	3hpp	u	urine	Increased	urine	Increased (urine)	True	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	3-Hydroxypropionate	HMDB00700	CHEBI:33404	C01013	not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		EX_CE2026[u]	CE2026	u	urine	Increased	urine	Increased (urine)	True	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	3-Methylcrotonoylglycine				not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		EX_2mcit[u]	2mcit	u	urine	Increased	urine	Increased (urine)	True	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	2-Methylcitrate	HMDB00379	CHEBI:30835	C02225	not_in_hpo_annotations	
CRFD	12	CRFD Classic Refsum Disease	5264.1	_PHYHx;_RE3066X	DM_phyt[bc]	phyt	bc	blood	Increased	blood	Increased (blood)	False	577	608	PHYH		773	Adult Refsum disease	0.898	Disease-causing germline mutation(s) in	Assessed	1	266500;614879	G60.1	Phytanate	HMDB00801	CHEBI:16285	C01607	no_hpo_metabolite_term_for_disorder	
CRFD	12	CRFD Classic Refsum Disease	5264.1	_PHYHx;_RE3066X	DM_prist[bc]	prist	bc	blood	Decreased	blood	Decreased (blood)	False	577	608	PHYH		773	Adult Refsum disease	0.898	Disease-causing germline mutation(s) in	Assessed	1	266500;614879	G60.1	Pristanic Acid	HMDB00795	CHEBI:51340		no_hpo_metabolite_term_for_disorder	
STAR	13	STAR Congenital Lipoid Adrenal Hyperplasia (Clah)/ Star Deficiency	1538.1	_P45011A1m;_HMR_1928;_HMR_1929;_HMR_1932;_HMR_1934;_HMR_1935	DM_crtsl[bc]	crtsl	bc	blood	Decreased	blood	Decreased (blood)	False	611	654		1538						0			Cortisol	HMDB00063	CHEBI:17650	C00735	no_hpo_metabolite_term_for_disorder	
