reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
PE161abcpp	Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PE180abcpp	Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PE181abcpp	Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PERD	Erythronate 4-phosphate (4per) dehydrogenase	NP_744266_1 or NP_744678_1	2	PP2533 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) — non-enzyme/family/domain annotation		1
PGAMT	Phosphoglucosamine mutase	NP_745715_1 or NP_746824_1	2	PP3578 (phosphoglucomutase) — no word in common with the reaction name while another alternative has		1
PGL	6-phosphogluconolactonase	NP_743184_1 or NP_744171_1	2	PP2021 (L-alpha-hydroxyglutaric acid gamma-lactonase) — no word in common with the reaction name while another alternative has		1
PGM	Phosphoglycerate mutase	NP_744204_1 or NP_747157_1	2	PP2054 (DNA-binding transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
PGMT	Phosphoglucomutase	NP_743933_1 or NP_745715_1	2	PP1777 (phosphomannomutase) — no word in common with the reaction name while another alternative has		1
PGP120abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PGP160abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PGP161abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
ACS	Acetyl-CoA synthetase	NP_745215_1 or NP_746598_2 or NP_746811_1	3	PP3071 (acetoacetyl-CoA synthetase) — no word in common with the reaction name while another alternative has		1
ADEt2	Adenine transport in via proton symport	NP_742870_1 or NP_746122_1	2	PP0709 (NCS1 family transporter) — non-enzyme/family/domain annotation		1
ADNCYC	Adenylate cyclase	NP_744361_1 or NP_747323_1	2	PP2212 (leucine-rich repeat-containing protein) — no word in common with the reaction name while another alternative has		1
AGPR	N-acetyl-g-glutamyl-phosphate reductase	NP_742598_1 or NP_745769_1	2	PP3633 (ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase) — non-enzyme/family/domain annotation		1
ALAt2r	L alanine reversible transport via proton symport	NP_742661_1 or NP_746945_1	2	PP4840 (D-alanine/beta-alanine/D-serine/glycine permease) — no word in common with the reaction name while another alternative has		1
ALATA_L	L-alanine transaminase	NP_742978_1 or NP_744027_1 or NP_745681_1 or NP_746801_1	4	PP3544 (GntR family transcriptional regulator) — non-enzyme/family/domain annotation		1
ALCD2y	Alcohol dehydrogenase (ethanol, NADP)	NP_744574_1 or NP_746100_1	2	PP3970 (Zn-dependent oxidoreductase) — no word in common with the reaction name while another alternative has		1
ALCD3	Alcohol dehydrogenase (propanol)	NP_744826_1 or NP_744947_1	2	PP2803 (1,3-propanediol dehydrogenase) — no word in common with the reaction name while another alternative has		1
ALCD4	Alcohol dehydrogenase (butanol)	NP_744826_1 or NP_744947_1	2	PP2803 (1,3-propanediol dehydrogenase) — no word in common with the reaction name while another alternative has		1
AMMQT8_2	S-adenosylmethione:2-demethylmenaquinone methyltransferase	NP_744234_1 or NP_747113_1	2	PP2084 (ribonuclease activity regulator) — non-enzyme/family/domain annotation		1
AMPTASECG	Alanyl aminopeptidase (cys-gly)	NP_743003_1 or NP_743141_1 or NP_744167_1	3	PP0842 (cysteine desulfurase) — no word in common with the reaction name while another alternative has		1
ANPRT	Anthranilate phosphoribosyltransferase	NP_742587_1 or NP_746127_1	2	PP3997 (glycosyl transferase) — no word in common with the reaction name while another alternative has		1
ARGDC	Arginine decarboxylase	NP_742730_1 or YP_009237131_1	2	PP4140 (lysine decarboxylase) — no word in common with the reaction name while another alternative has		1
ASNN	L-asparaginase	NP_742660_1 or NP_743320_1	2	PP1160 (asparaginase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
ATHRDHr	L-allo-threonine dehydrogenase	NP_743434_1 or NP_746967_1	2	PP1274 (short-chain dehydrogenase/reductase family oxidoreductase) — non-enzyme/family/domain annotation		1
BETALDHx	Betaine-aldehyde dehydrogenase	NP_745782_1 or NP_747164_1	2	PP3646 (aldehyde dehydrogenase family protein) — non-enzyme/family/domain annotation		1
PGP180abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PGP181abcpp	Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PHEt2rpp	L-phenylalanine reversible transport via proton symport (periplasm)	NP_743088_1 or NP_746603_1 or NP_746606_1	3	PP4492 (carbohydrate efflux transporter) — no word in common with the reaction name while another alternative has		1
PMPK	Phosphomethylpyrimidine kinase	NP_746887_1 or NP_746888_1	2	PP4783 (thiamine-phosphate synthase) — no word in common with the reaction name while another alternative has		1
PPBNGS	Porphobilinogen synthase	NP_745057_1 or NP_745465_1	2	PP2913 (5-aminolevulinate dehydratase) — no word in common with the reaction name while another alternative has		1
