model_gene	browser_gene
NP_717140_2	SO1523
NP_719820_1	SO4295
NP_716039_1	SO0401
NP_717627_1	SO2021
NP_719279_1	SO3740
NP_719280_1	SO3741
NP_715712_1	SO0070
NP_715711_1	SO0069
NP_716713_1	SO1087
NP_719286_1	SO3747
NP_718339_1	SO2757
NP_718458_1	SO2886
NP_716956_1	SO1336
NP_716986_1	SO1366
NP_718123_1	SO2537
NP_717870_1	SO2274
NP_716391_2	SO0760
NP_717539_1	SO1932
NP_716796_1	SO1171
NP_718297_1	SO2713
NP_717588_1	SO1981
NP_720106_1	SO4590
YP_007001321_1	SO_0419
NP_717986_1	SO2396
NP_720255_1	SO4739
NP_718988_2	SO3435
NP_716012_1	SO0372
NP_718871_1	SO3317
NP_717608_1	SO2001
NP_718071_1	SO2484
NP_716751_1	SO1126
NP_716822_2	SO1197
NP_716224_1	SO0591
NP_717864_1	SO2268
NP_716546_1	SO0917
NP_718995_3	SO_3442
NP_718912_1	SO3358
NP_718072_1	SO2485
YP_007001369_1	SO_2756
NP_719591_1	SO4061
NP_719510_1	SO3980
NP_720085_1	SO4568
NP_717386_1	SO1777
NP_717391_2	SO1782
NP_718482_1	SO2912
NP_718483_1	SO2913
NP_715917_1	SO0277
NP_718752_1	SO3197
NP_717500_1	SO1892
NP_717499_1	SO1891
NP_719195_2	SO3653
NP_718000_2	SO2410
NP_717988_1	SO2398
NP_716142_1	SO0506
NP_719729_1	SO4201
NP_719665_1	SO4136
NP_715954_1	SO0314
NP_719782_1	SO4255
NP_720089_1	SO4573
NP_717259_2	SO1648
NP_716898_1	SO1275
NP_719311_1	SO3774
NP_718908_1	SO3354
NP_716500_1	SO0869
NP_719859_1	SO4335
NP_719750_1	SO4222
NP_716044_1	SO0406
NP_716089_1	SO0452
NP_719275_2	SO3736
NP_719848_1	SO4323
NP_719432_1	SO3901
NP_717642_1	SO2039
NP_717931_1	SO2341
NP_716061_1	SO0424
NP_716062_1	SO0425
NP_718467_1	SO2895
NP_719180_1	SO3638
NP_716971_1	SO1351
NP_715804_1	SO0162
NP_718635_1	SO3071
NP_717651_1	SO2048
NP_716824_1	SO1199
NP_717926_1	SO2336
NP_716493_1	SO0862
NP_716561_1	SO0932
NP_718075_1	SO2488
NP_716068_1	SO0431
NP_718004_1	SO2414
NP_715933_1	SO0293
NP_715691_1	SO0049
NP_716474_1	SO0843
NP_719012_1	SO3463
NP_717470_1	SO1862
NP_717878_1	SO2282
NP_717277_1	SO1666
NP_719817_1	SO4292
NP_719816_2	SO4291
NP_719815_2	SO4290
NP_719814_1	SO4289
NP_716680_1	SO1052
NP_719308_2	SO3771
NP_717333_2	SO1723
NP_717335_2	SO1725
NP_717173_1	SO1560
NP_717334_1	SO1724
NP_717365_1	SO1755
NP_715855_1	SO0215
NP_719718_1	SO4190
NP_718173_1	SO2587
NP_719736_1	SO4208
NP_715914_2	SO0274
NP_719776_2	SO4249
NP_716842_1	SO1219
NP_715669_1	SO0027
NP_719365_1	SO3832
NP_715667_1	SO0025
NP_718642_1	SO3078
NP_718228_1	SO2644
NP_716078_1	SO0441
NP_718342_2	SO2760
NP_717670_1	SO2067
NP_719596_1	SO4066
NP_718841_1	SO3287
NP_717672_1	SO2069
NP_717587_1	SO1980
NP_719370_1	SO3837
NP_717994_1	SO2404
YP_007001327_1	SO_0590
NP_716846_2	SO_1223
NP_715819_1	SO0177
NP_719120_1	SO3575
NP_717980_1	SO2390
NP_718486_1	SO2916
NP_720200_1	SO4684
NP_715953_1	SO0313
NP_716893_1	SO1270
NP_716896_1	SO1273
NP_716894_1	SO1271
NP_716895_1	SO1272
NP_719046_1	SO3497
NP_719611_1	SO4081
NP_718078_1	SO2491
NP_719662_1	SO4133
NP_716273_1	SO0640
NP_717932_1	SO2342
NP_717892_1	SO2296
NP_719015_1	SO3466
NP_719017_1	SO3468
NP_716441_1	SO0810
NP_716727_1	SO1101
NP_718006_1	SO2416
NP_718005_1	SO2415
NP_718098_1	SO2511
NP_718097_1	SO2510
NP_718096_1	SO2509
NP_718099_1	SO2512
NP_718100_1	SO2513
NP_718095_1	SO2508
NP_718406_1	SO2834
NP_718405_1	SO2833
NP_715932_1	SO0292
NP_716775_1	SO1150
NP_715938_1	SO0298
NP_718077_1	SO2490
NP_718290_1	SO2706
NP_719266_2	SO3726
NP_719267_1	SO3727
NP_715869_1	SO0229
NP_719210_1	SO3669
NP_720043_2	SO_4523
NP_718058_1	SO2471
NP_717858_1	SO2262
NP_719868_1	SO4344
NP_717844_1	SO2248
NP_716548_1	SO0919
NP_718683_1	SO3122
NP_717658_1	SO2055
NP_720476_1	SOA0160
NP_717928_1	SO2338
NP_716252_1	SO0619
NP_720090_1	SO4574
NP_719268_1	SO3728
NP_715682_1	SO0040
NP_715926_1	SO0286
NP_719586_1	SO4056
NP_718780_1	SO3225
NP_719100_1	SO3553
NP_719559_1	SO4029
NP_717508_1	SO1901
NP_720475_1	SOA0159
NP_719300_1	SO3763
NP_720092_2	SO4576
NP_720091_1	SO4575
NP_717318_1	SO1708
NP_718694_1	SO3134
NP_717536_1	SO1929
NP_717535_1	SO1928
NP_717534_1	SO1927
NP_717233_1	SO1622
NP_717882_1	SO2286
NP_719093_1	SO3546
NP_718716_1	SO3160
NP_717264_1	SO1653
NP_718744_1	SO3188
NP_718723_1	SO3167
NP_718825_1	SO3271
NP_718379_1	SO2801
NP_717236_1	SO1625
NP_717485_1	SO1877
NP_720188_1	SO4673
NP_716396_1	SO0765
NP_715948_1	SO0308
NP_718031_1	SO2441
NP_719013_1	SO3464
NP_719454_1	SO3923
NP_717147_1	SO1531
NP_718032_1	SO2442
NP_718030_1	SO2440
NP_718033_1	SO2443
NP_716559_1	SO0930
NP_716856_1	SO1233
NP_716855_1	SO1232
NP_716955_1	SO1335
NP_718009_1	SO2419
NP_718034_2	SO2444
NP_716825_1	SO1200
NP_716585_1	SO0956
NP_717899_1	SO2303
NP_718591_1	SO3023
NP_718592_1	SO3024
NP_717668_1	SO2065
NP_717250_1	SO1639
NP_719752_2	SO4224
NP_717252_1	SO1641
NP_719478_1	SO3948
NP_719747_1	SO4219
NP_719749_1	SO4221
NP_719746_1	SO4218
NP_715853_1	SO0213
NP_719799_1	SO4274
NP_716915_1	SO1293
NP_717244_1	SO1633
NP_718729_1	SO3173
NP_717275_1	SO1664
NP_720203_1	SO4687
NP_718824_1	SO3270
NP_718063_1	SO2476
NP_719751_1	SO4223
NP_719742_1	SO4214
NP_719341_1	SO3805
NP_717242_1	SO1631
NP_720204_1	SO4688
NP_719840_1	SO4315
NP_719839_1	SO4314
NP_716072_1	SO0435
NP_718341_1	SO2759
NP_718451_1	SO2879
NP_715739_1	SO0097
NP_716862_1	SO1239
NP_717398_1	SO1789
SO4750	SO4750
SO4751	SO4751
SO4746	SO4746
SO4749	SO4749
SO4753	SO4753
SO4748	SO4748
SO4747	SO4747
SO4752	SO4752
